Gene stable ID	UniProtKB Gene Name ID	Gene name
ENSMUSG00000095956		1700036A12Rik
ENSMUSG00000109263		Gm18058
ENSMUSG00000113519		Gm47541
ENSMUSG00000037953	Q14BT6	A4gnt
ENSMUSG00000096283	J3QK59	Gm6176
ENSMUSG00000002803	A0A1Y7VJT6	Btbd6
ENSMUSG00000002803	G5E817	Btbd6
ENSMUSG00000002803	A0A1Y7VN14	Btbd6
ENSMUSG00000002803	A0A1Y7VM12	Btbd6
ENSMUSG00000002803	Q8K2J9	Btbd6
ENSMUSG00000028684	A0A0A0MQG7	Urod
ENSMUSG00000028684	P70697	Urod
ENSMUSG00000031984		2810004N23Rik
ENSMUSG00000012819	F8WIF5	Cdh23
ENSMUSG00000012819	E9Q7M6	Cdh23
ENSMUSG00000012819	K4DI74	Cdh23
ENSMUSG00000012819	Q99PF4	Cdh23
ENSMUSG00000109041		Gm18465
ENSMUSG00000074311	Q4KL48	Vmn1r139
ENSMUSG00000074311	E9Q8L6	Vmn1r139
ENSMUSG00000022391	A0A2R8W753	Rangap1
ENSMUSG00000022391	A0A2R8VHK9	Rangap1
ENSMUSG00000022391	P46061	Rangap1
ENSMUSG00000034485	A0A1L1SVG0	Uaca
ENSMUSG00000034485	A0A0R4J0S7	Uaca
ENSMUSG00000096304	D3YZG3	Gm16451
ENSMUSG00000096348	K7N6B8	Vmn1r250
ENSMUSG00000099746		Ppnr
ENSMUSG00000117833		Gm50135
ENSMUSG00000095273	K7N6U0	Vmn1r142
ENSMUSG00000117827		D730002M21Rik
ENSMUSG00000117695		Gm31912
ENSMUSG00000114448		C630044B11Rik
ENSMUSG00000011837	A0A140LID1	Snapc2
ENSMUSG00000011837	A0A140LHV3	Snapc2
ENSMUSG00000011837	Q91XA5	Snapc2
ENSMUSG00000030534	S4R1H4	Vps33b
ENSMUSG00000030534	S4R227	Vps33b
ENSMUSG00000030534	P59016	Vps33b
ENSMUSG00000117779		Gm19209
ENSMUSG00000114218		Gm47423
ENSMUSG00000114437		4930415C11Rik
ENSMUSG00000024843	Q5J2U5	Chka
ENSMUSG00000024843	D6RG40	Chka
ENSMUSG00000024843	O54804	Chka
ENSMUSG00000114896		Gm34245
ENSMUSG00000114208		Gm34307
